Type [validation category](max length)                TableName.ColumnName
int                                                   AssignmentAttachment.AssignmentAttachmentId
string?                                               AssignmentAttachment.AssignmentIdExternal
string?                                               AssignmentAttachment.AttachmentIdExternal
bool                                                  AssignmentAttachment.Sys_Deactivated
bool                                                  AssignmentAttachment.Sys_Historic
bool                                                  AssignmentAttachment.Sys_Incomplete
int                                                   AssignmentCategory.AssignmentCategoryId
string?                                               AssignmentCategory.AssignmentCategoryIdExternal
int?                                                  AssignmentCategory.AssignmentCategoryNumber
byte                                                  AssignmentCategory.ColumnNo
string [MultilineText](100)                           AssignmentCategory.Description
decimal                                               AssignmentCategory.MarginPercent
bool                                                  AssignmentCategory.Sys_Deactivated
bool                                                  AssignmentCategory.Sys_Historic
bool                                                  AssignmentCategory.Sys_Incomplete
bool                                                  AssignmentCategory.Ext_Sys_Deactivated
string                                                AssignmentCategory.Ext_ExternalId
string                                                AssignmentCategory.Ext_In_Error_MsgNO
string                                                AssignmentCategory.Ext_In_Error_MsgEN
string                                                AssignmentCategory.Ext_In_Error_TraceId
string                                                AssignmentCategory.Ext_In_Error_TechDetail
string                                                AssignmentCategory.Ext_In_Error_FixLink
bool                                                  AssignmentCategory.Ext_In_Error_SetOK
DateTime                                              AssignmentCategory.Ext_In_LastSyncUTC
string                                                AssignmentCategory.Ext_Out_Error_MsgNO
string                                                AssignmentCategory.Ext_Out_Error_MsgEN
string                                                AssignmentCategory.Ext_Out_Error_TraceId
string                                                AssignmentCategory.Ext_Out_Error_TechDetail
string                                                AssignmentCategory.Ext_Out_Error_FixLink
bool                                                  AssignmentCategory.Ext_Out_Error_SetOK
DateTime                                              AssignmentCategory.Ext_Out_LastSyncUTC
--> ExternalSystemAssignmentCategory[]                AssignmentCategory.ExternalSystemAssignmentCategories
int                                                   AssignmentContact.AssignmentContactId
string?                                               AssignmentContact.ContactIdExternal
string?                                               AssignmentContact.Owner_AssignmentIdExternal
bool                                                  AssignmentContact.Sys_Deactivated
bool                                                  AssignmentContact.Sys_Historic
bool                                                  AssignmentContact.Sys_Incomplete
int                                                   AssignmentMOM.AssignmentMOMId
string?                                               AssignmentMOM.AssignmentIdExternal
string?                                               AssignmentMOM.ProductIdExternal
int                                                   AssignmentMOM.AssignmentId
int                                                   AssignmentMOM.ProductId
string? (50)                                          AssignmentMOM.ProductNumber
bool                                                  AssignmentMOM.Selected
bool                                                  AssignmentMOM.Selected_UserManual
bool                                                  AssignmentMOM.Sys_Deactivated
bool                                                  AssignmentMOM.Sys_Historic
bool                                                  AssignmentMOM.Sys_Incomplete
int                                                   AssignmentParticipant.AssignmentParticipantId
string?                                               AssignmentParticipant.AssignmentParticipantIdExternal
string?                                               AssignmentParticipant.AssignmentIdExternal
string?                                               AssignmentParticipant.EmployeeIdExternal
int                                                   AssignmentParticipant.EmployeeId
bool                                                  AssignmentParticipant.Sys_Deactivated
bool                                                  AssignmentParticipant.Sys_Historic
bool                                                  AssignmentParticipant.Sys_Incomplete
ParticipantStatusEnum                                 AssignmentParticipant.Enum_ParticipantStatusId
bool                                                  AssignmentParticipant.Ext_Sys_Deactivated
string                                                AssignmentParticipant.Ext_ExternalId
string                                                AssignmentParticipant.Ext_In_Error_MsgNO
string                                                AssignmentParticipant.Ext_In_Error_MsgEN
string                                                AssignmentParticipant.Ext_In_Error_TraceId
string                                                AssignmentParticipant.Ext_In_Error_TechDetail
string                                                AssignmentParticipant.Ext_In_Error_FixLink
bool                                                  AssignmentParticipant.Ext_In_Error_SetOK
DateTime                                              AssignmentParticipant.Ext_In_LastSyncUTC
string                                                AssignmentParticipant.Ext_Out_Error_MsgNO
string                                                AssignmentParticipant.Ext_Out_Error_MsgEN
string                                                AssignmentParticipant.Ext_Out_Error_TraceId
string                                                AssignmentParticipant.Ext_Out_Error_TechDetail
string                                                AssignmentParticipant.Ext_Out_Error_FixLink
bool                                                  AssignmentParticipant.Ext_Out_Error_SetOK
DateTime                                              AssignmentParticipant.Ext_Out_LastSyncUTC
--> ExternalSystemAssignmentParticipant[]             AssignmentParticipant.ExternalSystemAssignmentParticipants
int                                                   AssignmentProductAgreement.AssignmentProductAgreementId
string?                                               AssignmentProductAgreement.AssignmentIdExternal
string?                                               AssignmentProductAgreement.ProductAgreementIdExternal
byte                                                  AssignmentProductAgreement.Priority
short                                                 AssignmentProductAgreement.ProductAgreementId
